FIG	SYM	CELLS_LOG	CELLS
AB_6_Light	A_Only_T	3.189	1545.3
AB_6_Light	A_Only_T	3.115	1303.2
AB_6_Light	A_Only_T	3.17	1479.1
AB_6_Light	A_Only_T	2.742	552.1
AB_6_Light	A_Only_T	3.304	2013.7
AB_6_Light	A_Only_T	4.397	24945.9
AB_6_Light	A_Only_T	3.919	8298.5
AB_6_Light	A_Only_T	3.412	2582.3
AB_6_Light	A_Only_T	3.777	5984.1
AB_6_Light	A_Only_T	4.414	25941.8
AB_6_Light	A_Only_T	3.47	2951.2
AB_6_Light	A_Only_T	4.257	18071.7
AB_6_Dark	A_Only_T	3.199	1581.2
AB_6_Dark	A_Only_T	3.164	1458.8
AB_6_Dark	A_Only_T	2.547	352.4
AB_6_Dark	A_Only_T	3.596	3944.6
AB_6_Dark	A_Only_T	3.38	2398.8
AB_6_Dark	A_Only_T	2.676	474.2
AB_6_Dark	A_Only_T	2.935	861.0
AB_6_Dark	A_Only_T	3.54	3467.4
AB_6_Dark	A_Only_T	2.982	959.4
AB_6_Dark	A_Only_T	3.552	3564.5
AB_6_Dark	A_Only_T	3.096	1247.4
AB_6_Dark	A_Only_T	3.741	5508.1
AB_6_Light	AB_T	3.559	3622.4
AB_6_Light	AB_T	3.944	8790.2
AB_6_Light	AB_T	2.485	305.5
AB_6_Light	AB_T	2.437	273.5
AB_6_Light	AB_T	3.472	2964.8
AB_6_Light	AB_T	3.579	3793.1
AB_6_Light	AB_T	4.013	10303.9
AB_6_Light	AB_T	3.312	2051.2
AB_6_Light	AB_T	4.093	12388.0
AB_6_Light	AB_T	3.109	1285.3
AB_6_Dark	AB_T	3.499	3155.0
AB_6_Dark	AB_T	3.799	6295.1
AB_6_Dark	AB_T	3.308	2032.4
AB_6_Dark	AB_T	3.565	3672.8
AB_6_Dark	AB_T	3.719	5236.0
AB_6_Dark	AB_T	2.889	774.5
AB_6_Dark	AB_T	3.187	1538.2
AB_6_Dark	AB_T	3.092	1235.9
AB_6_Dark	AB_T	3.28	1905.5
AB_6_Dark	AB_T	2.984	963.8
AB_6_Light	AB_A	3.123	1327.4
AB_6_Light	AB_A	3.762	5781.0
AB_6_Light	AB_A	0	0.0
AB_6_Light	AB_A	0	0.0
AB_6_Light	AB_A	3.345	2213.1
AB_6_Light	AB_A	0	0.0
AB_6_Light	AB_A	3.497	3140.5
AB_6_Light	AB_A	2.721	526.0
AB_6_Light	AB_A	3.936	8629.8
AB_6_Light	AB_A	0	0.0
AB_6_Dark	AB_A	3.313	2055.9
AB_6_Dark	AB_A	3.799	6295.1
AB_6_Dark	AB_A	2.451	282.5
AB_6_Dark	AB_A	2.895	785.2
AB_6_Dark	AB_A	3.576	3767.0
AB_6_Dark	AB_A	2.335	216.3
AB_6_Dark	AB_A	3.187	1538.2
AB_6_Dark	AB_A	3.092	1235.9
AB_6_Dark	AB_A	0	0.0
AB_6_Dark	AB_A	0	0.0
AB_6_Light	AB_B	3.362	2301.4
AB_6_Light	AB_B	3.479	3013.0
AB_6_Light	AB_B	2.485	305.5
AB_6_Light	AB_B	2.437	273.5
AB_6_Light	AB_B	2.879	756.8
AB_6_Light	AB_B	3.579	3793.1
AB_6_Light	AB_B	3.855	7161.4
AB_6_Light	AB_B	3.183	1524.1
AB_6_Light	AB_B	3.575	3758.4
AB_6_Light	AB_B	3.109	1285.3
AB_6_Dark	AB_B	3.041	1099.0
AB_6_Dark	AB_B	0	0.0
AB_6_Dark	AB_B	3.243	1749.8
AB_6_Dark	AB_B	3.461	2890.7
AB_6_Dark	AB_B	3.168	1472.3
AB_6_Dark	AB_B	2.747	558.5
AB_6_Dark	AB_B	0	0.0
AB_6_Dark	AB_B	0	0.0
AB_6_Dark	AB_B	3.28	1905.5
AB_6_Dark	AB_B	2.984	963.8
AB_6_Light	B_Only_T	2.848	704.7
AB_6_Light	B_Only_T	2.841	693.4
AB_6_Light	B_Only_T	4.07	11749.0
AB_6_Light	B_Only_T	3.725	5308.8
AB_6_Light	B_Only_T	3.028	1066.6
AB_6_Light	B_Only_T	3.642	4385.3
AB_6_Light	B_Only_T	3.684	4830.6
AB_6_Dark	B_Only_T	3.089	1227.4
AB_6_Dark	B_Only_T	3.8	6309.6
AD_6_Light	AD_T	2.818	657.7
AD_6_Light	AD_T	4.06	11481.5
AD_6_Light	AD_T	3.682	4808.4
AD_6_Light	AD_T	3.73	5370.3
AD_6_Light	AD_T	2.29	195.0
AD_6_Light	AD_T	4.006	10139.1
AD_6_Light	AD_T	3.715	5188.0
AD_6_Light	AD_T	4.36	22908.7
AD_6_Light	AD_T	4.607	40457.6
AD_6_Light	AD_T	4.451	28248.8
AD_6_Light	AD_T	4.35	22387.2
AD_6_Light	AD_T	3.974	9418.9
AD_6_Light	AD_T	4.388	24434.3
AD_6_Dark	AD_T	2.403	252.9
AD_6_Dark	AD_T	2.861	726.1
AD_6_Dark	AD_T	2.67	467.7
AD_6_Dark	AD_T	3.481	3026.9
AD_6_Dark	AD_T	2.579	379.3
AD_6_Dark	AD_T	2.483	304.1
AD_6_Dark	AD_T	3.478	3006.1
AD_6_Dark	AD_T	3.533	3411.9
AD_6_Dark	AD_T	3.779	6011.7
AD_6_Dark	AD_T	2.319	208.4
AD_6_Dark	AD_T	3.897	7888.6
AD_6_Light	AD_A	0	0.0
AD_6_Light	AD_A	2.769	587.5
AD_6_Light	AD_A	3.357	2275.1
AD_6_Light	AD_A	0	0.0
AD_6_Light	AD_A	2.29	195.0
AD_6_Light	AD_A	0	0.0
AD_6_Light	AD_A	3.55	3548.1
AD_6_Light	AD_A	3.721	5260.2
AD_6_Light	AD_A	3.045	1109.2
AD_6_Light	AD_A	4.015	10351.4
AD_6_Light	AD_A	3.942	8749.8
AD_6_Light	AD_A	3.686	4852.9
AD_6_Light	AD_A	4.222	16672.5
AD_6_Dark	AD_A	0	0.0
AD_6_Dark	AD_A	2.861	726.1
AD_6_Dark	AD_A	0	0.0
AD_6_Dark	AD_A	3.481	3026.9
AD_6_Dark	AD_A	2.579	379.3
AD_6_Dark	AD_A	0	0.0
AD_6_Dark	AD_A	3.135	1364.6
AD_6_Dark	AD_A	3.533	3411.9
AD_6_Dark	AD_A	3.73	5370.3
AD_6_Dark	AD_A	2.319	208.4
AD_6_Dark	AD_A	3.836	6854.9
AD_6_Light	AD_D	2.818	657.7
AD_6_Light	AD_D	4.038	10914.4
AD_6_Light	AD_D	3.403	2529.3
AD_6_Light	AD_D	3.73	5370.3
AD_6_Light	AD_D	0	0.0
AD_6_Light	AD_D	4.006	10139.1
AD_6_Light	AD_D	3.215	1640.6
AD_6_Light	AD_D	4.247	17660.4
AD_6_Light	AD_D	4.595	39355.0
AD_6_Light	AD_D	4.252	17864.9
AD_6_Light	AD_D	4.135	13645.8
AD_6_Light	AD_D	3.66	4570.9
AD_6_Light	AD_D	3.891	7780.4
AD_6_Dark	AD_D	2.403	252.9
AD_6_Dark	AD_D	0	0.0
AD_6_Dark	AD_D	2.67	467.7
AD_6_Dark	AD_D	0	0.0
AD_6_Dark	AD_D	0	0.0
AD_6_Dark	AD_D	2.483	304.1
AD_6_Dark	AD_D	3.215	1640.6
AD_6_Dark	AD_D	0	0.0
AD_6_Dark	AD_D	2.803	635.3
AD_6_Dark	AD_D	0	0.0
AD_6_Dark	AD_D	3.02	1047.1
AD_6_Light	D_Only_T	2.507	321.4
AD_6_Light	D_Only_T	4.603	40086.7
AD_6_Light	D_Only_T	1.93	85.1
AD_6_Light	D_Only_T	4.147	14028.1
AD_6_Light	D_Only_T	4.071	11776.1
AD_6_Light	D_Only_T	3.676	4742.4
AD_6_Light	D_Only_T	4.773	59292.5
AD_6_Light	D_Only_T	4.405	25409.7
AD_6_Light	D_Only_T	4.252	17864.9
AD_6_Light	D_Only_T	3.378	2387.8
AD_6_Light	D_Only_T	4.579	37931.5
AD_6_Light	D_Only_T	4.76	57544.0
AD_6_Light	D_Only_T	4.559	36224.3
AD_6_Light	D_Only_T	4.93	85113.8
AD_6_Dark	D_Only_T	2.396	248.9
AD_6_Dark	D_Only_T	3.357	2275.1
AD_6_Dark	D_Only_T	3.462	2897.3
AD_6_Dark	D_Only_T	3.948	8871.6
AD_6_Dark	D_Only_T	2.924	839.5
AD_6_Dark	D_Only_T	3.446	2792.5
AD_6_Dark	D_Only_T	3.299	1990.7
AD_6_Dark	D_Only_T	4.055	11350.1
AD_6_Dark	D_Only_T	4.166	14655.5
AD_6_Dark	D_Only_T	4.568	36982.8
AD_6_Dark	D_Only_T	4.01	10232.9
AD_6_Light	A_Only_T	3.189	1545.3
AD_6_Light	A_Only_T	3.115	1303.2
AD_6_Light	A_Only_T	3.17	1479.1
AD_6_Light	A_Only_T	2.742	552.1
AD_6_Light	A_Only_T	3.304	2013.7
AD_6_Light	A_Only_T	4.397	24945.9
AD_6_Light	A_Only_T	3.919	8298.5
AD_6_Light	A_Only_T	3.412	2582.3
AD_6_Light	A_Only_T	3.777	5984.1
AD_6_Light	A_Only_T	4.414	25941.8
AD_6_Light	A_Only_T	3.47	2951.2
AD_6_Light	A_Only_T	4.257	18071.7
AD_6_Dark	A_Only_T	3.199	1581.2
AD_6_Dark	A_Only_T	3.164	1458.8
AD_6_Dark	A_Only_T	2.547	352.4
AD_6_Dark	A_Only_T	3.596	3944.6
AD_6_Dark	A_Only_T	3.38	2398.8
AD_6_Dark	A_Only_T	2.676	474.2
AD_6_Dark	A_Only_T	2.935	861.0
AD_6_Dark	A_Only_T	3.54	3467.4
AD_6_Dark	A_Only_T	2.982	959.4
AD_6_Dark	A_Only_T	3.552	3564.5
AD_6_Dark	A_Only_T	3.096	1247.4
AD_6_Dark	A_Only_T	3.741	5508.1
BD_6_Light	B_Only_T	2.848	704.7
BD_6_Light	B_Only_T	2.841	693.4
BD_6_Light	B_Only_T	4.07	11749.0
BD_6_Light	B_Only_T	3.725	5308.8
BD_6_Light	B_Only_T	3.028	1066.6
BD_6_Light	B_Only_T	3.642	4385.3
BD_6_Light	B_Only_T	3.684	4830.6
BD_6_Dark	B_Only_T	3.089	1227.4
BD_6_Dark	B_Only_T	3.8	6309.6
BD_6_Light	D_Only_T	2.507	321.4
BD_6_Light	D_Only_T	4.603	40086.7
BD_6_Light	D_Only_T	1.93	85.1
BD_6_Light	D_Only_T	4.147	14028.1
BD_6_Light	D_Only_T	4.071	11776.1
BD_6_Light	D_Only_T	3.676	4742.4
BD_6_Light	D_Only_T	4.773	59292.5
BD_6_Light	D_Only_T	4.405	25409.7
BD_6_Light	D_Only_T	4.252	17864.9
BD_6_Light	D_Only_T	3.378	2387.8
BD_6_Light	D_Only_T	4.579	37931.5
BD_6_Light	D_Only_T	4.76	57544.0
BD_6_Light	D_Only_T	4.559	36224.3
BD_6_Light	D_Only_T	4.93	85113.8
BD_6_Dark	D_Only_T	2.396	248.9
BD_6_Dark	D_Only_T	3.357	2275.1
BD_6_Dark	D_Only_T	3.462	2897.3
BD_6_Dark	D_Only_T	3.948	8871.6
BD_6_Dark	D_Only_T	2.924	839.5
BD_6_Dark	D_Only_T	3.446	2792.5
BD_6_Dark	D_Only_T	3.299	1990.7
BD_6_Dark	D_Only_T	4.055	11350.1
BD_6_Dark	D_Only_T	4.166	14655.5
BD_6_Dark	D_Only_T	4.568	36982.8
BD_6_Dark	D_Only_T	4.01	10232.9
BD_6_Light	BD_T	2.637	433.5
BD_6_Light	BD_T	3.77	5888.4
BD_6_Light	BD_T	3.103	1267.7
BD_6_Light	BD_T	4.528	33728.7
BD_6_Light	BD_T	3.116	1306.2
BD_6_Light	BD_T	4.634	43052.7
BD_6_Light	BD_T	4.15	14125.4
BD_6_Light	BD_T	4.441	27605.8
BD_6_Light	BD_T	4.124	13304.5
BD_6_Light	BD_T	2.738	547.0
BD_6_Light	BD_T	3.6	3981.1
BD_6_Light	BD_T	4.348	22284.4
BD_6_Light	BD_T	4.632	42854.9
BD_6_Dark	BD_T	3.222	1667.2
BD_6_Dark	BD_T	2.638	434.5
BD_6_Dark	BD_T	2.265	184.1
BD_6_Dark	BD_T	3.406	2546.8
BD_6_Dark	BD_T	2.714	517.6
BD_6_Dark	BD_T	3.225	1678.8
BD_6_Dark	BD_T	3.963	9183.3
BD_6_Dark	BD_T	2.537	344.3
BD_6_Dark	BD_T	1.763	57.9
BD_6_Dark	BD_T	3.66	4570.9
BD_6_Dark	BD_T	3.811	6471.4
BD_6_Dark	BD_T	3.466	2924.2
BD_6_Light	BD_B	2.315	206.5
BD_6_Light	BD_B	0	0.0
BD_6_Light	BD_B	2.94	871.0
BD_6_Light	BD_B	2.991	979.5
BD_6_Light	BD_B	3.116	1306.2
BD_6_Light	BD_B	3.95	8912.5
BD_6_Light	BD_B	0	0.0
BD_6_Light	BD_B	0	0.0
BD_6_Light	BD_B	3.749	5610.5
BD_6_Light	BD_B	0	0.0
BD_6_Light	BD_B	3.559	3622.4
BD_6_Light	BD_B	3.454	2844.5
BD_6_Light	BD_B	4.321	20941.1
BD_6_Dark	BD_B	0	0.0
BD_6_Dark	BD_B	0	0.0
BD_6_Dark	BD_B	0	0.0
BD_6_Dark	BD_B	3.328	2128.1
BD_6_Dark	BD_B	0	0.0
BD_6_Dark	BD_B	2.669	466.7
BD_6_Dark	BD_B	3.763	5794.3
BD_6_Dark	BD_B	0	0.0
BD_6_Dark	BD_B	0	0.0
BD_6_Dark	BD_B	3.057	1140.2
BD_6_Dark	BD_B	0	0.0
BD_6_Dark	BD_B	3.466	2924.2
BD_6_Light	BD_D	2.356	227.0
BD_6_Light	BD_D	3.77	5888.4
BD_6_Light	BD_D	2.597	395.4
BD_6_Light	BD_D	4.515	32734.1
BD_6_Light	BD_D	0	0.0
BD_6_Light	BD_D	4.533	34119.3
BD_6_Light	BD_D	4.15	14125.4
BD_6_Light	BD_D	4.441	27605.8
BD_6_Light	BD_D	3.886	7691.3
BD_6_Light	BD_D	2.738	547.0
BD_6_Light	BD_D	2.55	354.8
BD_6_Light	BD_D	4.289	19453.6
BD_6_Light	BD_D	4.341	21928.0
BD_6_Dark	BD_D	3.222	1667.2
BD_6_Dark	BD_D	2.638	434.5
BD_6_Dark	BD_D	2.265	184.1
BD_6_Dark	BD_D	2.622	418.8
BD_6_Dark	BD_D	2.714	517.6
BD_6_Dark	BD_D	3.083	1210.6
BD_6_Dark	BD_D	3.531	3396.3
BD_6_Dark	BD_D	2.537	344.3
BD_6_Dark	BD_D	1.763	57.9
BD_6_Dark	BD_D	3.536	3435.6
BD_6_Dark	BD_D	3.811	6471.4
BD_6_Dark	BD_D	0	0.0
