Sample	Sym_Num	Sym_ID	Env	Time	Rep	A_Count	B_Count	D_Count	Total_Count	Per_A	Per_B	Per_D	Log_A	Log_B	Log_D	Log_Total
566	1	A	Dark	1	1	1583	0	0	1583	100	0	0	3.199	0	0	3.199
568	1	A	Dark	1	1	1460	0	0	1460	100	0	0	3.164	0	0	3.164
569	1	A	Dark	1	1	353	0	0	353	100	0	0	2.547	0	0	2.547
570	1	A	Dark	1	1	3942	0	0	3942	100	0	0	3.596	0	0	3.596
706	1	A	Dark	1	2	2401	0	0	2401	100	0	0	3.38	0	0	3.38
708	1	A	Dark	1	2	474	0	0	474	100	0	0	2.676	0	0	2.676
709	1	A	Dark	1	2	862	0	0	862	100	0	0	2.935	0	0	2.935
710	1	A	Dark	1	2	3464	0	0	3464	100	0	0	3.54	0	0	3.54
846	1	A	Dark	1	3	959	0	0	959	100	0	0	2.982	0	0	2.982
848	1	A	Dark	1	3	3565	0	0	3565	100	0	0	3.552	0	0	3.552
849	1	A	Dark	1	3	1249	0	0	1249	100	0	0	3.096	0	0	3.096
850	1	A	Dark	1	3	5507	0	0	5507	100	0	0	3.741	0	0	3.741
552	1	A	Light	1	1	1546	0	0	1546	100	0	0	3.189	0	0	3.189
556	1	A	Light	1	1	1303	0	0	1303	100	0	0	3.115	0	0	3.115
558	1	A	Light	1	1	1479	0	0	1479	100	0	0	3.17	0	0	3.17
559	1	A	Light	1	1	552	0	0	552	100	0	0	2.742	0	0	2.742
560	1	A	Light	1	1	2014	0	0	2014	100	0	0	3.304	0	0	3.304
696	1	A	Light	1	2	24920	0	0	24920	100	0	0	4.397	0	0	4.397
699	1	A	Light	1	2	8299	0	0	8299	100	0	0	3.919	0	0	3.919
700	1	A	Light	1	2	2584	0	0	2584	100	0	0	3.412	0	0	3.412
836	1	A	Light	1	3	5989	0	0	5989	100	0	0	3.777	0	0	3.777
838	1	A	Light	1	3	25935	0	0	25935	100	0	0	4.414	0	0	4.414
839	1	A	Light	1	3	2952	0	0	2952	100	0	0	3.47	0	0	3.47
840	1	A	Light	1	3	18061	0	0	18061	100	0	0	4.257	0	0	4.257
982	1	A	Dark	2	1	736	0	0	736	100	0	0	2.867	0	0	2.867
986	1	A	Dark	2	1	17356	0	0	17356	100	0	0	4.239	0	0	4.239
988	1	A	Dark	2	1	18478	0	0	18478	100	0	0	4.267	0	0	4.267
989	1	A	Dark	2	1	848	0	0	848	100	0	0	2.929	0	0	2.929
990	1	A	Dark	2	1	10046	0	0	10046	100	0	0	4.002	0	0	4.002
1022	1	A	Dark	2	2	1634	0	0	1634	100	0	0	3.213	0	0	3.213
